"BehaviorSpace results (NetLogo 6.0.1)"
"Roman_LULCC.nlogo"
"cell-resolution"
"08/14/2017 20:27:54:672 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","grain-req","expectation-scalar","tenure-drop","patches-per-ha","dynamic-pop","init-households","tenure","annual-precip","wood-req","[step]","mean [grain-supply] of households"
"121","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","80124.60121971737"
"120","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102575.1401935496"
"122","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","75065.67789003087"
"123","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","72549.28656774414"
"124","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","84585.8195109862"
"125","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","81937.58784163327"
"126","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","71516.31623666352"
"127","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","78648.04703011308"
"129","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","71361.68136275074"
"128","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","82660.68741319576"
"130","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","72747.29661656567"
"131","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","78850.17222832606"
"132","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","73104.42323282987"
"133","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","82286.46231061709"
"134","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","77180.63754791045"
"135","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","82439.47305337443"
"136","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","84751.06784095956"
"137","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","79596.29234928274"
"138","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","76813.2946805086"
"139","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","76084.83031017028"
"142","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"141","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"140","212","0.7","0.2","10","false","10","""satisficing""","0.54","2000","200","76736.37170693582"
"143","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"144","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"145","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"146","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"147","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"148","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"150","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"149","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"151","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"152","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"153","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"154","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"155","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"156","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"157","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"161","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"162","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"163","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"164","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"165","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"166","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"167","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"168","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"169","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"170","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"171","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"172","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"173","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"174","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"175","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"176","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"177","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"178","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"179","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"180","212","0.75","0.2","0.25","false","10","""satisficing""","0.54","2000","200","0"
"158","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"159","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"160","212","0.7","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
"181","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","176300.58348710052"
"182","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","173534.72841503972"
"183","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","176982.23894656674"
"184","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","173501.12763825897"
"185","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174000.30127129695"
"186","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","177988.11714481076"
"187","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","166383.2723077315"
"188","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","176900.2821686456"
"189","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174774.5199149758"
"190","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","181799.1178390439"
"191","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174553.83726838807"
"192","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","170748.1990517082"
"193","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","176701.0359201469"
"194","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174856.7434595871"
"195","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","173858.1503035762"
"196","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","173928.39285779558"
"197","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","174534.7641343698"
"198","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","175554.66496028617"
"199","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","175705.80012248884"
"200","212","0.75","0.2","0.5","false","10","""satisficing""","0.54","2000","200","172290.62481943733"
"201","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","79712.53533776158"
"202","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","80309.99783958441"
"204","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","80141.27421593439"
"203","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","80606.9308612339"
"205","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","78722.15544867562"
"206","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","80000.25981087318"
"207","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","78808.75717156751"
"208","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","80422.935907962"
"209","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","78195.70329022605"
"210","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","79526.74404323078"
"211","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","79934.7742725202"
"212","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","80348.68194866068"
"213","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","80564.16839586505"
"214","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","80258.1387031294"
"215","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","80211.94229697825"
"217","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","79565.98155893877"
"216","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","81100.08918921374"
"218","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","79210.07222132143"
"219","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","79086.35776873596"
"220","212","0.75","0.2","1","false","10","""satisficing""","0.54","2000","200","79470.46759787471"
"221","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78734.40712195938"
"222","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78623.71675910258"
"224","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78775.17613923756"
"223","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78381.5448525978"
"225","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78482.53833006792"
"226","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78508.23931180759"
"227","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78313.50896582016"
"228","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78848.6117550354"
"229","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78370.73188512414"
"230","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78881.11368807557"
"231","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78345.64409186481"
"232","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78728.68202355558"
"233","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","79003.65062465795"
"234","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78397.21275355289"
"235","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78741.9929337814"
"236","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78943.44431854459"
"237","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78666.93360166709"
"238","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78343.98639901646"
"239","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78505.32228834103"
"240","212","0.75","0.2","2","false","10","""satisficing""","0.54","2000","200","78322.5132152369"
"241","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78465.63305140616"
"242","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78283.71463810044"
"243","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78001.00471842874"
"244","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78151.78051879184"
"245","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78408.89223988022"
"247","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78733.75263943334"
"246","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","79036.82806914642"
"248","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78227.76685336353"
"249","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78482.3981807582"
"250","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78187.21640254241"
