title,type,description,lon,lat,periods,minDate,maxDate,id,tags
Fundus (...) 1,villa,"An ancient place, cited: BAtlas 32 D4 Fundus (...) 1",9.436861,36.333963,RL,-30,640,314957,"dare:ancient=1, dare:major=0, dare:feature=villa"
Fundus (...) 2,villa,"An ancient place, cited: BAtlas 32 D4 Fundus (...) 2",9.199862,36.290664,RL,-30,640,314958,"dare:ancient=1, dare:major=0, dare:feature=villa"
Henchir-Gastlaia,villa,"An ancient place, cited: BAtlas 32 F4 Henchir-Gastlaia",10.388085,36.202753,RL,-30,640,315001,"dare:major=0, dare:ancient=0, dare:feature=villa"
Henchir-Ksour-Abbeda,villa,"An ancient place, cited: BAtlas 32 E4 Henchir-Ksour-Abbeda",9.861464,36.286831,RL,-30,640,315006,"dare:major=0, dare:ancient=0, dare:feature=villa"
Henchir-Mezouar,villa,"An ancient place, cited: BAtlas 32 D3 Henchir-Mezouar",9.333373,36.783575,RL,-30,640,315011,"dare:major=0, dare:ancient=0, dare:feature=villa"
*Praedia Buritanorum,villa,"An ancient place, cited: BAtlas 32 E3 *Praedia Buritanorum",9.713474,36.892965,RL,-30,640,315117,"dare:ancient=1, dare:major=0, dare:feature=villa"
Praedia Pullaienorum,villa,"An ancient place, cited: BAtlas 32 D4 Praedia Pullaienorum",9.120605,36.43235,R,-30,300,315118,"dare:ancient=1, dare:major=0, dare:feature=villa"
Praedia Rufii Volusiani,villa,"An ancient place, cited: BAtlas 32 D4 Praedia Rufii Volusiani",9.291762,36.464686,RL,-30,640,315119,"dare:ancient=1, dare:major=0, dare:feature=villa"
Ras-el-Kasba,villa,"An ancient place, cited: BAtlas 32 D3 Ras-el-Kasba",9.043874,36.969765,RL,-30,640,315127,"dare:major=0, dare:ancient=0, dare:feature=villa"
Ras Enghela,villa,"An ancient place, cited: BAtlas 32 E2 Ras Enghela",9.740962,37.344573,RL,-30,640,315128,"dare:major=0, dare:ancient=0, dare:feature=villa"
Saltus Blandianus,villa,"An ancient place, cited: BAtlas 32 D3 Saltus Blandianus",9.143819,36.563753,R,-30,300,315136,"dare:ancient=1, dare:major=0, dare:feature=villa"
Saltus Burunitanus,villa,"An ancient place, cited: BAtlas 32 C3 Saltus Burunitanus",9.083551,36.766375,R,-30,300,315137,"dare:ancient=1, dare:major=0, dare:feature=villa"
Saltus Domitianus,villa,"An ancient place, cited: BAtlas 32 D3 Saltus Domitianus",9.181016,36.597924,R,-30,300,315138,"dare:ancient=1, dare:major=0, dare:feature=villa"
Saltus Lamianus,villa,"An ancient place, cited: BAtlas 32 D3 Saltus Lamianus",9.24277,36.605963,R,-30,300,315139,"dare:ancient=1, dare:major=0, dare:feature=villa"
Saltus Neronianus,villa,"An ancient place, cited: BAtlas 32 D3 Saltus Neronianus",9.342536,36.612535,R,-30,300,315140,"dare:ancient=1, dare:major=0, dare:feature=villa"
Saltus Philomusianus,villa,"An ancient place, cited: BAtlas 32 C3 Saltus Philomusianus",8.669907,36.516842,R,-30,300,315141,"dare:ancient=1, dare:major=0, dare:feature=villa"
Saltus Tuzritanus,villa,"An ancient place, cited: BAtlas 32 D3 Saltus Tuzritanus",9.209926,36.416006,R,-30,300,315142,"dare:ancient=1, dare:major=0, dare:feature=villa"
Saltus Udensis,villa,"An ancient place, cited: BAtlas 32 D4 Saltus Udensis",9.195726,36.380061,R,-30,300,315143,"dare:ancient=1, dare:major=0, dare:feature=villa"
